Gene,SetType,DiseaseType
10500,disease,Syndrome1
80031,disease,Syndrome1
8482,disease,Syndrome1
57337,disease,Syndrome1
51091,disease,Syndrome1
347735,disease,Syndrome1
55209,disease,Syndrome1
83852,disease,Syndrome1
10262,disease,Syndrome1
375035,disease,Syndrome1
344558,disease,Syndrome1
6470,disease,Syndrome1
6476,disease,Syndrome1
23411,disease,Syndrome1
6558,disease,Syndrome1
6559,disease,Syndrome1
84561,disease,Syndrome1
56996,disease,Syndrome1
26503,disease,Syndrome1
63910,disease,Syndrome1
116843,disease,Syndrome1
6574,disease,Syndrome1
55356,disease,Syndrome1
10165,disease,Syndrome1
10166,disease,Syndrome1
89874,disease,Syndrome1
29957,disease,Syndrome1
203427,disease,Syndrome1
283130,disease,Syndrome1
91137,disease,Syndrome1
10559,disease,Syndrome1
7355,disease,Syndrome1
80255,disease,Syndrome1
80723,disease,Syndrome1
206358,disease,Syndrome1
219855,disease,Syndrome1
2542,disease,Syndrome1
81539,disease,Syndrome1
153129,disease,Syndrome1
30061,disease,Syndrome1
84102,disease,Syndrome1
23446,disease,Syndrome1
57153,disease,Syndrome1
126969,disease,Syndrome1
204962,disease,Syndrome1
84925,disease,Syndrome1
83959,disease,Syndrome1
113278,disease,Syndrome1
130814,disease,Syndrome1
6530,disease,Syndrome1
6532,disease,Syndrome1
157724,disease,Syndrome1
57709,disease,Syndrome1
6542,disease,Syndrome1
84889,disease,Syndrome1
6545,disease,Syndrome1
8140,disease,Syndrome1
9057,disease,Syndrome1
84138,disease,Syndrome1
9056,disease,Syndrome1
11136,disease,Syndrome1
10479,disease,Syndrome1
23315,disease,Syndrome1
128710,disease,Syndrome1
9126,disease,Syndrome1
56006,disease,Syndrome1
389203,disease,Syndrome1
221491,disease,Syndrome1
6609,disease,Syndrome1
57154,disease,Syndrome1
6591,disease,Syndrome1
25992,disease,Syndrome1
50854,disease,Syndrome1
389084,disease,Syndrome1
6641,disease,Syndrome1
57231,disease,Syndrome1
122809,disease,Syndrome1
11063,disease,Syndrome1
93349,disease,Syndrome1
389058,disease,Syndrome1
53340,disease,Syndrome1
6683,disease,Syndrome1
132671,disease,Syndrome1
56848,disease,Syndrome1
169981,disease,Syndrome1
6690,disease,Syndrome1
90853,disease,Syndrome1
83932,disease,Syndrome1
10252,disease,Syndrome1
6714,disease,Syndrome1
9901,disease,Syndrome1
8406,disease,Syndrome1
27286,disease,Syndrome1
51188,disease,Syndrome1
6747,disease,Syndrome1
51066,disease,Syndrome1
6768,disease,Syndrome1
54879,disease,Syndrome1
56910,disease,Syndrome1
6775,disease,Syndrome1
8987,disease,Syndrome1
261729,disease,Syndrome1
6786,disease,Syndrome1
8576,disease,Syndrome1
79991,disease,Syndrome1
55342,disease,Syndrome1
201595,disease,Syndrome1
6783,disease,Syndrome1
387082,disease,Syndrome1
6839,disease,Syndrome1
81493,disease,Syndrome1
163183,disease,Syndrome1
84958,disease,Syndrome1
257397,disease,Syndrome1
255061,disease,Syndrome1
117143,disease,Syndrome1
9015,disease,Syndrome1
83860,disease,Syndrome1
6879,disease,Syndrome1
151647,disease,Syndrome1
25817,disease,Syndrome1
51256,disease,Syndrome1
11138,disease,Syndrome1
54885,disease,Syndrome1
93627,disease,Syndrome1
90843,disease,Syndrome1
6938,disease,Syndrome1
10732,disease,Syndrome1
55346,disease,Syndrome1
6988,disease,Syndrome1
6997,disease,Syndrome1
81550,disease,Syndrome1
79736,disease,Syndrome1
55603,disease,Syndrome1
115572,disease,Syndrome1
7014,disease,Syndrome1
80312,disease,Syndrome1
400629,disease,Syndrome1
374618,disease,Syndrome1
7039,disease,Syndrome1
56906,disease,Syndrome1
83591,disease,Syndrome1
9984,disease,Syndrome1
92610,disease,Syndrome1
200765,disease,Syndrome1
166815,disease,Syndrome1
10440,disease,Syndrome1
9874,disease,Syndrome1
80213,disease,Syndrome1
7108,disease,Syndrome1
51768,disease,Syndrome1
51643,disease,Syndrome1
79905,disease,Syndrome1
146456,disease,Syndrome1
51014,disease,Syndrome1
84216,disease,Syndrome1
84233,disease,Syndrome1
55863,disease,Syndrome1
85013,disease,Syndrome1
23240,disease,Syndrome1
65084,disease,Syndrome1
51524,disease,Syndrome1
55858,disease,Syndrome1
8269,disease,Syndrome1
201931,disease,Syndrome1
440026,disease,Syndrome1
757,disease,Syndrome1
113452,disease,Syndrome1
85025,disease,Syndrome1
157378,disease,Syndrome1
91147,disease,Syndrome1
137695,disease,Syndrome1
56674,disease,Syndrome1
339967,disease,Syndrome1
132724,disease,Syndrome1
9407,disease,Syndrome1
28983,disease,Syndrome1
389208,disease,Syndrome1
283471,disease,Syndrome1
84000,disease,Syndrome1
5651,disease,Syndrome1
7113,disease,Syndrome1
64699,disease,Syndrome1
56649,disease,Syndrome1
80975,disease,Syndrome1
164656,disease,Syndrome1
344805,disease,Syndrome1
360200,disease,Syndrome1
8764,disease,Syndrome1
8718,disease,Syndrome1
7292,disease,Syndrome1
7136,disease,Syndrome1
7150,disease,Syndrome1
26092,disease,Syndrome1
27433,disease,Syndrome1
7157,disease,Syndrome1
7167,disease,Syndrome1
7168,disease,Syndrome1
7177,disease,Syndrome1
23430,disease,Syndrome1
25823,disease,Syndrome1
133022,disease,Syndrome1
60684,disease,Syndrome1
10107,disease,Syndrome1
81559,disease,Syndrome1
89122,disease,Syndrome1
91107,disease,Syndrome1
25893,disease,Syndrome1
286827,disease,Syndrome1
9866,disease,Syndrome1
140691,disease,Syndrome1
205860,disease,Syndrome1
9320,disease,Syndrome1
55006,disease,Syndrome1
55687,disease,Syndrome1
56302,disease,Syndrome1
55503,disease,Syndrome1
7248,disease,Syndrome1
10102,disease,Syndrome1
10194,disease,Syndrome1
10099,disease,Syndrome1
7106,disease,Syndrome1
10098,disease,Syndrome1
64061,disease,Syndrome1
23270,disease,Syndrome1
151613,disease,Syndrome1
55622,disease,Syndrome1
150737,disease,Syndrome1
23548,disease,Syndrome1
145567,disease,Syndrome1
80727,disease,Syndrome1
10426,disease,Syndrome1
85378,disease,Syndrome1
79770,disease,Syndrome1
127253,disease,Syndrome1
390595,disease,Syndrome1
84959,disease,Syndrome1
89910,disease,Syndrome1
90025,disease,Syndrome1
23352,disease,Syndrome1
7347,disease,Syndrome1
7353,disease,Syndrome1
51569,disease,Syndrome1
55325,disease,Syndrome1
25972,disease,Syndrome1
57558,disease,Syndrome1
124739,disease,Syndrome1
64854,disease,Syndrome1
9712,disease,Syndrome1
51096,disease,Syndrome1
81839,disease,Syndrome1
64601,disease,Syndrome1
51028,disease,Syndrome1
147645,disease,Syndrome1
23584,disease,Syndrome1
11326,disease,Syndrome1
9897,disease,Syndrome1
54838,disease,Syndrome1
57590,disease,Syndrome1
55255,disease,Syndrome1
54521,disease,Syndrome1
22911,disease,Syndrome1
348793,disease,Syndrome1
151525,disease,Syndrome1
7465,disease,Syndrome1
25937,disease,Syndrome1
57002,disease,Syndrome1
84327,disease,Syndrome1
58486,disease,Syndrome1
7541,disease,Syndrome1
57621,disease,Syndrome1
79696,disease,Syndrome1
376940,disease,Syndrome1
29066,disease,Syndrome1
84186,disease,Syndrome1
51201,disease,Syndrome1
254887,disease,Syndrome1
7539,disease,Syndrome1
286128,disease,Syndrome1
339559,disease,Syndrome1
65243,disease,Syndrome1
7542,disease,Syndrome1
9765,disease,Syndrome1
64393,disease,Syndrome1
9204,disease,Syndrome1
7771,disease,Syndrome1
7697,disease,Syndrome1
7738,disease,Syndrome1
7743,disease,Syndrome1
10520,disease,Syndrome1
7768,disease,Syndrome1
7770,disease,Syndrome1
7571,disease,Syndrome1
57209,disease,Syndrome1
129025,disease,Syndrome1
90075,disease,Syndrome1
149076,disease,Syndrome1
151126,disease,Syndrome1
90594,disease,Syndrome1
126070,disease,Syndrome1
126068,disease,Syndrome1
90333,disease,Syndrome1
130557,disease,Syndrome1
25925,disease,Syndrome1
79818,disease,Syndrome1
148254,disease,Syndrome1
79230,disease,Syndrome1
84527,disease,Syndrome1
147929,disease,Syndrome1
126295,disease,Syndrome1
51157,disease,Syndrome1
51545,disease,Syndrome1
84622,disease,Syndrome1
162966,disease,Syndrome1
57547,disease,Syndrome1
22834,disease,Syndrome1
127396,disease,Syndrome1
90592,disease,Syndrome1
7562,disease,Syndrome1
7552,disease,Syndrome1
7627,disease,Syndrome1
388507,disease,Syndrome1
285989,disease,Syndrome1
342892,disease,Syndrome1
284459,disease,Syndrome1
10534,disease,Syndrome1
84133,disease,Syndrome1
7589,disease,Syndrome1
201516,disease,Syndrome1
57643,disease,Syndrome1
57688,disease,Syndrome1
158586,disease,Syndrome1
