Syndrome_id,SYMBOL
Syndrome 3,SLC12A8
Syndrome 3,SLC12A9
Syndrome 3,SLC13A1
Syndrome 3,SLC13A2
Syndrome 3,SLC13A3
Syndrome 3,SLC13A4
Syndrome 3,SLC13A5
Syndrome 3,SLC15A1
Syndrome 3,SLC22A14
Syndrome 3,SLC23A1
Syndrome 3,SLC35G3
Syndrome 3,SLC39A14
Syndrome 3,SLC4A7
Syndrome 3,SLC7A10
Syndrome 3,SLC7A13
Syndrome 3,SLC7A14
Syndrome 3,SLC7A2
Syndrome 3,SLC7A3
Syndrome 3,SLC7A6
Syndrome 3,SLC7A9
Syndrome 3,SLURP1
Syndrome 3,SMARCD1
Syndrome 3,SNAP25
Syndrome 3,SND1
Syndrome 3,SNX27
Syndrome 3,SNX5
Syndrome 3,SOD2-OT1
Syndrome 3,SPAG6
Syndrome 3,SRD5A1
Syndrome 3,SSH1
Syndrome 3,SSH2
Syndrome 3,SSH3
Syndrome 3,STAU1
Syndrome 3,STEAP3
Syndrome 3,STRADA
Syndrome 3,STXBP5
Syndrome 3,TALDO1
Syndrome 3,TANK
Syndrome 3,TATDN1
Syndrome 3,TATDN2
Syndrome 3,TATDN3
Syndrome 3,TBX21
Syndrome 3,TBXA2R
Syndrome 3,TFAM
Syndrome 3,TFAP2C
Syndrome 3,THTPA
Syndrome 3,TNFRSF4
Syndrome 3,TRDMT1
Syndrome 3,TRPC1
Syndrome 3,TRPC7
Syndrome 3,UBA3
Syndrome 3,UBA5
Syndrome 3,UBA6
Syndrome 3,UEVLD
Syndrome 3,USF1
Syndrome 3,USP10
Syndrome 3,USP15
Syndrome 3,UTRN
Syndrome 3,VAMP2
Syndrome 3,VAMP5
Syndrome 3,VAV1
Syndrome 3,WDR36
Syndrome 3,XPNPEP1
Syndrome 3,XPNPEP2
Syndrome 3,XPNPEP3
Syndrome 3,YWHAH
Syndrome 3,ZFYVE1
Syndrome 3,ZFYVE19
Syndrome 3,ZP3
