Herb_id,Ingredient_id
HERB001750,HBIN048520
HERB001779,HBIN000391
HERB001779,HBIN002087
HERB001779,HBIN002089
HERB001779,HBIN002095
HERB001779,HBIN002717
HERB001779,HBIN003221
HERB001779,HBIN003537
HERB001779,HBIN003712
HERB001779,HBIN004066
HERB001779,HBIN004409
HERB001779,HBIN004636
HERB001779,HBIN004827
HERB001779,HBIN005450
HERB001779,HBIN005625
HERB001779,HBIN005662
HERB001779,HBIN005940
HERB001779,HBIN006585
HERB001779,HBIN006789
HERB001779,HBIN007191
HERB001779,HBIN008534
HERB001779,HBIN008674
HERB001779,HBIN008831
HERB001779,HBIN008944
HERB001779,HBIN008949
HERB001779,HBIN008962
HERB001779,HBIN010407
HERB001779,HBIN010879
HERB001779,HBIN011105
HERB001779,HBIN011106
HERB001779,HBIN013015
HERB001779,HBIN013310
HERB001779,HBIN015470
HERB001779,HBIN015954
HERB001779,HBIN016080
HERB001779,HBIN016568
HERB001779,HBIN017212
HERB001779,HBIN018278
HERB001779,HBIN018337
HERB001779,HBIN019035
HERB001779,HBIN019111
HERB001779,HBIN019425
HERB001779,HBIN019894
HERB001779,HBIN022166
HERB001779,HBIN022815
HERB001779,HBIN023623
HERB001779,HBIN024595
HERB001779,HBIN024749
HERB001779,HBIN024796
HERB001779,HBIN026022
HERB001779,HBIN026243
HERB001779,HBIN026465
HERB001779,HBIN026662
HERB001779,HBIN026977
HERB001779,HBIN027172
HERB001779,HBIN027173
HERB001779,HBIN027178
HERB001779,HBIN027179
HERB001779,HBIN027226
HERB001779,HBIN027842
HERB001779,HBIN027847
HERB001779,HBIN027849
HERB001779,HBIN027857
HERB001779,HBIN027957
HERB001779,HBIN027958
HERB001779,HBIN028048
HERB001779,HBIN028079
HERB001779,HBIN028080
HERB001779,HBIN028083
HERB001779,HBIN028174
HERB001779,HBIN028180
HERB001779,HBIN028181
HERB001779,HBIN028184
HERB001779,HBIN028188
HERB001779,HBIN028190
HERB001779,HBIN028191
HERB001779,HBIN028197
HERB001779,HBIN028214
HERB001779,HBIN028215
HERB001779,HBIN029092
HERB001779,HBIN029234
HERB001779,HBIN029419
HERB001779,HBIN029445
HERB001779,HBIN029973
HERB001779,HBIN029974
HERB001779,HBIN030134
HERB001779,HBIN030137
HERB001779,HBIN030773
HERB001779,HBIN030780
HERB001779,HBIN030800
HERB001779,HBIN030802
HERB001779,HBIN030868
HERB001779,HBIN030869
HERB001779,HBIN030896
HERB001779,HBIN030898
HERB001779,HBIN031002
HERB001779,HBIN031102
HERB001779,HBIN031109
HERB001779,HBIN031114
HERB001779,HBIN031319
HERB001779,HBIN031404
HERB001779,HBIN031446
HERB001779,HBIN031753
