Ingredient_id,Target_name
HBIN005745,OPRD1
HBIN005745,OPRM1
HBIN005745,PTGS1
HBIN005745,PTGS2
HBIN005745,RXRA
HBIN005745,SCN5A
HBIN005745,SLC6A3
HBIN005745,SLC6A4
HBIN005745,SRC
HBIN005745,DPP4
HBIN005745,AR
HBIN005745,CHEK1
HBIN005745,GSK3B
HBIN005745,MAPK14
HBIN005745,CHRM2
HBIN005745,PKIA
HBIN005745,CA2
HBIN005745,PDE3A
HBIN005745,NCOA2
HBIN005745,CHRM3
HBIN005745,ESR1
HBIN005745,ACHE
HBIN005745,ESR2
HBIN005745,NOS2
HBIN005745,PIM1
HBIN005745,ADRA2B
HBIN005745,CHRM4
HBIN005745,GABRA1
HBIN005745,PPARG
HBIN005745,LTA4H
HBIN005745,CDK2
HBIN005745,CHRNA7
HBIN005745,DRD1
HBIN005745,CHRNA2
HBIN005745,CHRM5
HBIN005745,CCNA2
HBIN005911,ADRA1A
HBIN005911,ADRB1
HBIN005911,ADRB2
HBIN005911,AR
HBIN005911,CHRM1
HBIN005911,PTGS2
HBIN005911,RXRA
HBIN005911,SLC6A3
HBIN005911,SLC6A4
HBIN005911,GABRA1
HBIN005911,ADRA1B
HBIN005911,ADRA1D
HBIN005911,CHRM2
HBIN005911,PDE3A
HBIN005911,ESR1
HBIN005911,NOS2
HBIN005911,CHRM3
HBIN005919,CYP1A1
HBIN005919,CYP1A2
HBIN005919,CYP2A6
HBIN005919,CYP2A7
HBIN005919,CYP2A13
HBIN005919,CYP2B6
HBIN005919,CYP2C19
HBIN005919,CYP2C8
HBIN005919,CYP2C9
HBIN005919,CYP2C18
HBIN005919,CYP2D6
HBIN005919,CYP2E1
HBIN005919,CYP2F1
HBIN005919,CYP2J2
HBIN005919,CYP17A1
HBIN005919,CYP2S1
HBIN005919,CYP2W1
HBIN005919,CYP2U1
HBIN005919,CYP2R1
HBIN005940,PTGS1
HBIN005940,PTGS2
HBIN005940,AR
HBIN005940,PPARG
HBIN005940,NOS2
HBIN005940,CDK2
HBIN005940,CHEK1
HBIN005940,ESR1
HBIN005940,MAPK14
HBIN005940,GSK3B
HBIN005940,DPEP1
HBIN005940,CA2
HBIN005940,ESR2
HBIN005940,DPP4
HBIN005940,PIM1
HBIN005999,PRSS1
HBIN006106,NCOA2
HBIN006106,ACHE
HBIN006106,PPARG
HBIN006127,NCOA2
HBIN006127,ACHE
HBIN006480,GRIA2
HBIN006480,IGHG1
HBIN006480,PTGS1
HBIN006480,PTGS2
HBIN006480,DPP4
HBIN006480,NOS2
HBIN006480,GABRA1
HBIN006480,CA2
HBIN006480,DPEP1
HBIN006480,ACHE
HBIN006480,PRSS1
HBIN006526,ACHE
HBIN006526,ADRA1A
HBIN006526,ADRA2A
HBIN006526,ADRB1
HBIN006526,ADRB2
HBIN006526,CHRM1
HBIN006526,OPRM1
HBIN006526,PTGS1
HBIN006526,PTGS2
HBIN006526,SCN5A
HBIN006526,SELL
HBIN006526,SELP
HBIN006526,SLC6A2
HBIN006526,SLC6A3
HBIN006526,SLC6A4
HBIN006526,PRSS1
HBIN006526,ADRA1D
HBIN006526,NOS2
HBIN006526,AR
HBIN006526,CDK2
HBIN006526,CA2
HBIN006526,CHRNA2
HBIN006526,PPARG
HBIN006526,CHRM3
HBIN006526,ESR1
HBIN006526,CHRM2
HBIN006526,DPEP1
HBIN006526,PDE3A
HBIN006526,GABRA1
HBIN006526,ADRA2B
HBIN006526,CHRNA7
HBIN006526,ADRA1B
HBIN006526,DRD1
HBIN006526,PIM1
HBIN006526,DPP4
HBIN006526,CHRM4
HBIN006585,AR
HBIN006585,CALM3
HBIN006585,ESR1
HBIN006585,ESR2
HBIN006585,GSK3B
HBIN006585,KCNH2
HBIN006585,NOS2
HBIN006585,PTGS2
HBIN006585,DPP4
HBIN006585,CHEK1
HBIN006585,PPARG
HBIN006585,PRSS1
HBIN006585,CA2
HBIN006585,MAPK14
HBIN006585,PIM1
HBIN006589,PTGS2
HBIN006589,GABRA1
HBIN006589,DPP4
HBIN006589,PIM1
HBIN006589,CA2
HBIN006589,PRSS1
HBIN006743,AR
HBIN006743,CA2
HBIN006743,NCOA2
HBIN006789,ADRB2
HBIN006789,CALM3
HBIN006789,ESR1
HBIN006789,ESR2
HBIN006789,NOS2
HBIN006789,PTGS1
HBIN006789,PTGS2
HBIN006789,SCN5A
HBIN006789,PIM1
HBIN006789,GSK3B
HBIN006789,PRSS1
HBIN006789,PPARG
HBIN006789,CDK2
HBIN006789,CA2
HBIN006789,CCNA2
HBIN006789,CHEK1
HBIN006789,DPP4
HBIN006789,MAPK14
HBIN006789,PDE3A
HBIN006789,ADRA1B
HBIN006789,AR
HBIN007191,BCHE
HBIN007191,PTGS1
HBIN007191,DPP4
HBIN007191,PRSS3
HBIN007191,ACHE
HBIN007191,PRSS1
HBIN007191,GABRA1
HBIN007191,CA2
HBIN007288,FASN
HBIN007288,MAOB
HBIN007288,MGST1
HBIN007288,PGR
HBIN007288,PTGS1
HBIN007288,PTGS2
HBIN007288,TP53
HBIN007288,GSK3B
HBIN007288,PRSS1
HBIN007288,NOS2
HBIN007288,CCNA2
HBIN007288,ESR1
HBIN007288,PIM1
HBIN007288,MAPK14
HBIN007288,PPARG
HBIN007288,ESR2
HBIN007288,ACHE
HBIN007288,AR
HBIN007288,CDK2
HBIN007288,DPP4
HBIN007288,DPEP1
HBIN007288,CA2
HBIN007703,ADRA1A
HBIN007703,CHRM1
HBIN007703,MAOB
HBIN007703,PTGS1
HBIN007703,PTGS2
HBIN007703,RXRA
HBIN007703,SLC6A2
HBIN007703,PRSS1
HBIN007703,ESR1
HBIN007703,DPP4
HBIN007703,CHRM3
HBIN007703,NCOA2
HBIN007703,NOS2
HBIN007703,ACHE
HBIN007703,GABRA1
HBIN007703,DPEP1
HBIN007703,ADRA1D
HBIN007703,ADRA1B
HBIN007703,CHRM2
HBIN007848,ACHE
HBIN007848,ADRB1
HBIN007848,ADRB2
HBIN007848,CALM3
HBIN007848,CHRM1
HBIN007848,ESR1
HBIN007848,HTR3A
HBIN007848,NOS2
HBIN007848,OPRM1
HBIN007848,PRSS1
HBIN007848,PTGS1
HBIN007848,PTGS2
HBIN007848,RXRA
HBIN007848,SCN5A
HBIN007848,CHRM3
HBIN007848,DPP4
HBIN007848,CHEK1
HBIN007848,ADRA1B
HBIN007848,CCNA2
HBIN007848,ESR2
HBIN007848,PDE3A
HBIN007848,PIM1
HBIN007848,ADRA1D
HBIN007848,GSK3B
HBIN007848,CDK2
HBIN007848,NCOA2
HBIN007848,PPARG
HBIN007848,GABRA1
HBIN007848,CA2
HBIN007848,ADRA2C
HBIN007848,AR
HBIN007848,MAPK14
HBIN008418,DPP4
HBIN008418,PRSS1
HBIN008520,DPP4
HBIN008520,PRSS1
HBIN008534,BCHE
HBIN008534,ADH1A
HBIN008534,PRSS1
HBIN008534,PRSS3
HBIN008647,PRSS1
HBIN008647,ADH1A
HBIN008647,LYZ
HBIN008647,CDK2
HBIN008668,PTGS2
HBIN008668,F7
HBIN008668,CA2
HBIN008668,AR
HBIN008668,CCNA2
HBIN008674,ADRB2
HBIN008674,AR
HBIN008674,CALM3
HBIN008674,CCNA2
HBIN008674,CDK2
HBIN008674,ESR1
HBIN008674,ESR2
HBIN008674,GSK3B
HBIN008674,KCNH2
HBIN008674,KDR
HBIN008674,NOS2
HBIN008674,PRSS1
HBIN008674,PTGS1
HBIN008674,PTGS2
HBIN008674,SCN5A
HBIN008674,NCOA1
HBIN008674,DPP4
HBIN008674,ADRA1B
HBIN008674,PPARG
HBIN008674,PIM1
HBIN008674,MAPK14
HBIN008674,CA2
HBIN008674,CHEK1
HBIN008674,F7
HBIN008674,NCOA2
HBIN008831,ESR2
HBIN008831,CDK2
HBIN008831,ESR1
HBIN008831,DPP4
HBIN008831,PPARG
HBIN008831,ADRB2
HBIN008831,CCNA2
HBIN008831,GSK3B
HBIN008831,NCOA1
HBIN008831,PTGS1
HBIN008831,RXRA
HBIN008831,MAPK14
HBIN008831,SCN5A
HBIN008831,NCOA2
HBIN008831,F7
HBIN008831,ADRA1B
HBIN008831,PRSS1
HBIN008831,PIM1
HBIN008831,AR
HBIN008831,ACHE
HBIN008831,KCNH2
HBIN008831,CHEK1
HBIN008831,NOS2
HBIN008831,PTGS2
HBIN008831,CA2
HBIN008894,PRSS1
HBIN008894,DPP4
HBIN008894,ACHE
HBIN008924,PTGS1
HBIN008924,MAOB
HBIN008924,PTGS2
HBIN008924,SCN5A
HBIN008924,NCOA2
HBIN008924,ESR1
HBIN008944,PRSS1
HBIN008944,PRSS3
HBIN008944,BCHE
HBIN008949,BCHE
HBIN008949,PRSS3
HBIN008949,PRSS1
HBIN008962,BCHE
HBIN008962,PRSS1
HBIN008962,CA2
HBIN008962,ADH1A
HBIN008962,PRSS3
HBIN008962,LYZ
HBIN009374,CALM3
HBIN009374,PTGS1
HBIN009374,PTGS2
HBIN009374,MAPK14
HBIN009374,CDK2
HBIN009374,CCNA2
HBIN009374,DPEP1
HBIN009374,AR
HBIN009374,ESR1
HBIN009374,PIM1
HBIN009374,ESR2
HBIN009374,PPARG
HBIN009374,DPP4
HBIN009374,NCOA2
HBIN009374,PRSS1
HBIN009374,GSK3B
HBIN009374,CA2
HBIN009374,NOS2
HBIN009398,NR3C1
HBIN009398,AR
HBIN009679,ESR1
HBIN009679,AR
HBIN009785,CALM3
HBIN009785,KCNH2
HBIN009785,PTGS1
HBIN009785,PTGS2
HBIN009785,SCN5A
HBIN009785,CCNA2
HBIN009785,NOS2
HBIN009785,DPP4
HBIN009785,NCOA2
HBIN009785,AR
HBIN009785,ESR1
HBIN009785,F7
HBIN009785,ACHE
HBIN009785,PRSS1
HBIN009785,ESR2
HBIN009785,PPARG
HBIN009785,PIM1
HBIN009785,GSK3B
HBIN009785,CA2
HBIN010109,ACHE
HBIN010109,ADRA1A
HBIN010109,ADRB1
HBIN010109,ADRB2
HBIN010109,CA2
HBIN010109,CHRM1
HBIN010109,MAOB
HBIN010109,PTGS1
HBIN010109,PTGS2
HBIN010109,SCN5A
HBIN010109,SLC6A2
HBIN010109,SLC6A3
HBIN010109,SLC6A4
HBIN010109,PDE3A
HBIN010109,ADRA1D
HBIN010109,PRSS1
HBIN010109,ADRA1B
HBIN010109,ADRA2C
HBIN010109,CHRM3
HBIN010109,PIM1
HBIN010109,NOS2
HBIN010109,CDK2
HBIN010173,NR3C2
HBIN010173,PGR
HBIN010173,NOS2
HBIN010173,AR
HBIN010173,ESR1
HBIN010173,NR3C1
HBIN010378,ADRA2A
HBIN010378,ADRB1
HBIN010378,ADRB2
HBIN010378,CHRM1
HBIN010378,GRIA2
HBIN010378,MAOB
HBIN010378,PTGS1
HBIN010378,PTGS2
HBIN010378,RXRA
HBIN010378,SCN5A
HBIN010378,SLC6A3
HBIN010378,SLC6A4
HBIN010378,MAPK14
HBIN010378,NOS2
HBIN010378,CCNA2
HBIN010378,PDE3A
HBIN010378,DPEP1
HBIN010378,CHRM3
HBIN010378,DPP4
HBIN010378,GABRA1
HBIN010378,CA2
HBIN010378,CHEK1
HBIN010378,CDK2
HBIN010378,LTA4H
HBIN010378,ESR1
HBIN010378,PPARG
HBIN010378,PIM1
HBIN010378,PKIA
HBIN010378,ADRA1B
HBIN010407,PTGS2
HBIN010407,F7
HBIN010407,ESR1
HBIN010407,CCNA2
HBIN010407,CA2
HBIN010407,AR
HBIN010407,PPARG
HBIN010644,MAOA
HBIN010644,MAOB
HBIN010644,NOS2
HBIN010644,PTGS1
HBIN010644,PTGS2
HBIN010644,LYZ
HBIN010644,CTRB1
HBIN010644,PRSS1
HBIN010644,CA2
HBIN010644,CDK2
HBIN010644,DPEP1
HBIN010721,AKT1
HBIN010721,ALDH1A1
HBIN010721,KLK3
HBIN010721,AR
HBIN010721,BAX
HBIN010721,BCL2
HBIN010721,BCL2L1
HBIN010721,CASP3
HBIN010721,CBR3
HBIN010721,CCNB1
HBIN010721,CDKN1A
HBIN010721,CES1
HBIN010721,ABCC2
HBIN010721,MAPK14
HBIN010721,CYP1A1
HBIN010721,CYP1A2
HBIN010721,CYP3A4
HBIN010721,AKR1C1
HBIN010721,AKR1C2
HBIN010721,GADD45A
HBIN010721,NQO1
HBIN010721,DNMT1
HBIN010721,DNMT3B
HBIN010721,ERCC4
HBIN010721,ERCC5
HBIN010721,ERG
HBIN010721,EZH1
HBIN010721,EZH2
HBIN010721,GJA1
HBIN010721,GCLC
HBIN010721,GCLM
HBIN010721,GSR
HBIN010721,GSTA1
HBIN010721,GSTA2
HBIN010721,GSTA3
HBIN010721,GSTA4
HBIN010721,GSTM1
HBIN010721,GSTP1
HBIN010721,HMOX1
HBIN010721,HPX
HBIN010721,HSP90AA1
HBIN010721,JAK2
HBIN010721,LMNA
HBIN010721,MGMT
HBIN010721,KMT2A
HBIN010721,MMP1
HBIN010721,MMP2
HBIN010721,MMP3
HBIN010721,MMP7
HBIN010721,MMP8
HBIN010721,MMP9
HBIN010721,MMP10
HBIN010721,MMP11
HBIN010721,MMP13
HBIN010721,MMP14
HBIN010721,MMP15
HBIN010721,MMP16
HBIN010721,MMP17
HBIN010721,MMP19
HBIN010721,MT1A
HBIN010721,MT2A
HBIN010721,NFE2L1
HBIN010721,NFE2L2
HBIN010721,NQO2
HBIN010721,MAPK1
HBIN010721,MAPK3
HBIN010721,MAPK8
HBIN010721,PTGS2
HBIN010721,REL
HBIN010721,RELA
HBIN010721,SETMAR
HBIN010721,SOD1
HBIN010721,SOX9
HBIN010721,STAT5A
HBIN010721,STAT5B
HBIN010721,SUV39H1
HBIN010721,TCF20
HBIN010721,TLR4
HBIN010721,TNF
HBIN010721,TXN
HBIN010721,TXNRD1
HBIN010721,VTN
HBIN010721,NSD2
HBIN010721,MMP23A
HBIN010721,AKR1C3
HBIN010721,MMP20
HBIN010721,PTGES
HBIN010721,NFE2L3
HBIN010721,SETD1A
HBIN010721,KMT2B
HBIN010721,KEAP1
HBIN010721,SETDB1
HBIN010721,HDAC6
HBIN010721,PRG4
HBIN010721,SMYD5
HBIN010721,NDRG1
HBIN010721,MMP24
HBIN010721,EHMT2
HBIN010721,SETD1B
HBIN010721,PRDX5
HBIN010721,SETBP1
HBIN010721,HPGDS
HBIN010721,SETD2
HBIN010721,PHF11
HBIN010721,PHF7
HBIN010721,UGT1A1
HBIN010721,NSD3
